plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type engineType
1 3 0 FI 502.32 0.0 0 6 502.3 -96.7 586.0 -48.3 586.0 48.3 502.3 96.7 418.6 48.3 418.6 -48.3 502.3 -96.7 0 0 5.997 7.0 2.433 3.0 2.751 3.0 0 0 False 6 7.2 0 0.0 1 103000 103001 1001.0 1010.0 B A N
1 3 1 FI 418.6 145.01 1 6 418.6 48.3 502.3 96.7 502.3 193.3 418.6 241.7 334.9 193.3 334.9 96.7 418.6 48.3 0 1 7.039 8.0 2.853 3.0 3.408 4.0 3 0 False 6 7.2 0 19.107 1 103010 103011 1100.0 1110.0 A A N
1 3 2 FI 334.88 290.02 1 6 334.9 193.3 418.6 241.7 418.6 338.4 334.9 386.7 251.2 338.4 251.2 241.7 334.9 193.3 0 1 7.044 8.0 2.843 3.0 3.391 4.0 2 0 False 6 7.2 0 40.894 1 103020 103021 1100.0 1110.0 A A N
1 3 3 FI 251.16 435.022 1 6 334.895 386.655 334.829 483.341 251.171 531.641 167.405 483.355 167.471 386.668 251.129 338.368 334.895 386.655 1 0 5.997 7.0 2.433 3.0 2.751 3.0 100 0 False 6 7.2 0 60.0 1 103030 103031 1201.0 1210.0 B A N
1 3 4 FI 167.438 580.031 1 6 251.171 531.641 251.155 628.414 167.497 676.714 83.682 628.341 83.747 531.655 167.405 483.355 251.171 531.641 1 0 4.835 5.0 1.972 3.0 2.087 3.0 101 0 False 6 7.2 0 73.898 1 103040 103041 1200.0 1210.0 A A N
1 3 5 FI 83.715 725.039 1 6 167.497 676.714 167.432 773.4 83.687 821.75 0.008 773.414 -0.063 676.691 83.682 628.341 167.497 676.714 1 0 3.693 4.0 1.572 2.0 1.613 2.0 101 0 False 6 7.2 0 83.414 1 103050 103051 1200.0 1210.0 A A N
1 3 6 FM 0.002 870.043 5 6 83.687 821.75 83.708 918.386 -0.037 966.736 -83.716 918.4 -83.737 821.764 0.008 773.414 83.687 821.75 1 1 2.99 4.0 1.046 2.0 1.021 2.0 106 1 False 3 3.6 0 90.0 0 103060 103060 1301.0 1311.0 B B N
1 3 7 FO -83.721 1015.051 5 6 -0.037 966.736 -0.016 1063.373 -83.76 1111.723 -167.439 1063.386 -167.46 966.75 -83.716 918.4 -0.037 966.736 1 1 2.513 3.0 0.837 1.0 0.797 1.0 106 1 False 3 3.6 0 94.715 0 103070 103070 1301.0 1311.0 B B E
1 3 8 FO -167.443 1160.06 5 6 -83.76 1111.723 -83.739 1208.359 -167.484 1256.709 -251.163 1208.373 -251.184 1111.736 -167.439 1063.386 -83.76 1111.723 1 1 2.169 3.0 0.672 1.0 0.642 1.0 106 0 True 3 3.6 0 98.213 0 103080 103080 1301.0 1311.0 B B W
1 3 9 FO -251.165 1305.069 5 6 -167.484 1256.709 -167.413 1353.432 -251.158 1401.782 -334.887 1353.359 -334.908 1256.723 -251.163 1208.373 -167.484 1256.709 1 1 1.643 2.0 0.544 1.0 0.533 1.0 106 0 False 3 3.6 0 100.894 0 103090 103090 1301.0 1311.0 B B N
1 3 10 aOeT -334.883 1450.086 2 4 -251.137 1498.418 -418.631 1401.709 -334.887 1353.359 -251.158 1401.782 -251.137 1498.418 0.0 0.0 0.0 0.0 1 1 0.984 1.0 0.144 1.0 0.144 1.0 106 0 False 3 3.6 0 103.004 0 103100 103100 1301.0 1311.0 B B N
